문제,답
아름다운 사람은 목숨이 짧다. , 가인박명
많으면 많을수록 더욱 좋다. , 다다익선
도끼를 갈아서 바늘을 만든다. , 마부작침
적을 속이는 수단으로서 제 몸 괴롭히는 걸 돌보지 않고 쓰는 계책 , 고육지책
일을 이루려고 끼니조차 잊고 분발 노력함 , 발분망식
"입에서 아직 젖내가 난다는 뜻으로, 말과 하는 짓이 아직 유치함 ", 구상유취
"뿔이 있는 놈은 이가 없다는 뜻으로, 한 사람이 모든 복을 겸하지는 못함 ", 각자무치
자나 깨나 잊지 못하다 , 오매불망
가늘고 옥처럼 아름다운 손 , 섬섬옥수
어떤 일에 대하여 옳으니 그르니 하는 것 , 왈가왈부
어려운 상황에서는 원수라도 협력하게 됨 , 오월동주
방자하고 교만하여 다른 사람을 업신여김 , 안하무인
홀로 절개를 굳세게 지키고 있음 , 독야정청
낮이든 밤이든 멈추지 않는다 , 불철주야
일을 자주 고치는 것 , 조변석개
아무 근거도 없이 떠도는 헛소문 , 유언비어
같은 사람의 문장이나 앞뒤가 안 맞는 말로 모순되는 일 , 자가당착
"보리를 보며 탄식한다는 뜻으로, 나라가 망해가는 것을 보면서 탄식함 ", 맥수지탄
늦은 시기에 원통하면서 한탄한다 , 만시지탄
한 사람을 벌주어 백사람을 경계함 , 일벌백계
모든 일은 결국에 가서는 정리로 돌아감 , 사필귀정
다른 사람의 하찮은 언행이라도 자신의 지덕을 닦는데 도움이 됨 , 타산지석
처음 먹은 마음을 한결같이 지닌다 , 초지일관
베풀어 준 은혜에 보답은커녕 은혜를 원수로 갚음 , 배은망덕
찾아오는 사람이 많아 집 문 앞이 시장을 이루다시피 함 , 문전성시
제자나 후배가 스승이나 선배보다 나음을 비유적으로 이르는 말 , 청출어람
더 낫고 더 못함의 차이가 거의 없음 , 막상막하
손뼉을 치며 크게 웃음 , 박장대소
오래지 않은 동안에 몰라보게 변하여 아주 다른 세상이 된 것 같은 느낌 , 격세지감
헛된 영광이나 덧없는 일을 비유적으로 이르는 말 , 일장춘몽
